Date,US,US,Euro Area,Euro Area,Japan,Japan,UK,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,Euro Area,Japan,UK,US,US,Euro Area,Japan,UK
Date,Interest Rate,Inflation,Interest Rate,Inflation,Interest Rate,Inflation,Interest Rate,Value,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,Balance of Trade (BoT) $bn,BoT % growth MoM,BoT % growth MoM,BoT % growth MoM,BoT % growth MoM,BoT % growth YoY,BoT % growth YoY,BoT % growth YoY,BoT % growth YoY,GDP USD,GDP Euro,GDP Yen,GDP Pound,GDP % growth MoM,GDP % growth MoM,GDP % growth MoM,GDP % growth MoM,GDP % growth YoY,GDP % growth YoY,GDP % growth YoY,GDP % growth YoY,UNRATE,FD-GDP%,FD-GDP%,FD-GDP%,FD-GDP%
1999-01-01,4.63,73.180, 3.00 ,73.44,0.22526,98.1,6.25,71.4, (15.6), (2.5), 6.6 , (0.8),,,,,,,,," 13,316 "," 2,024,046 "," 467,365 "," 382,789 ",,,,,,,,,4.3,,,,
1999-02-01,4.76,73.155, 3.00 ,73.61,0.17632,97.7,6,71.5, (18.2), 1.8 , 8.2 , (0.8),16%,-171%,23%,-5%,,,,," 13,353 "," 2,027,348 "," 467,969 "," 383,393 ",0.28%,0.16%,0.13%,0.16%,,,,,4.4,,,,
1999-03-04,4.81,73.177, 3.00 ,73.85,0.04091,97.8,5.5,71.9, (17.5), 2.5 , 11.4 , (0.8),-4%,43%,40%,-1%,,,,," 13,390 "," 2,030,655 "," 468,574 "," 383,999 ",0.28%,0.16%,0.13%,0.16%,,,,,4.2,,,,
1999-04-04,4.74,73.365, 2.63 ,74.11,0.03143,98.3,5.5,72.2, (18.0), 1.9 , 9.1 , (0.6),3%,-23%,-20%,-21%,,,,," 13,427 "," 2,033,968 "," 469,180 "," 384,605 ",0.28%,0.16%,0.13%,0.16%,,,,,4.3,,,,
1999-05-05,4.74,73.435, 2.50 ,74.16,0.03,98.3,5.25,72.4, (20.4), (0.8), 7.2 , (0.4),14%,-142%,-21%,-41%,,,,," 13,486 "," 2,042,828 "," 470,012 "," 386,645 ",0.44%,0.44%,0.18%,0.53%,,,,,4.2,,,,
1999-06-05,4.76,73.474, 2.50 ,74.16,0.03,98,5.25,72.3, (23.0), 5.2 , 10.2 , (0.8),13%,-735%,41%,120%,,,,," 13,545 "," 2,051,727 "," 470,844 "," 388,696 ",0.44%,0.44%,0.18%,0.53%,,,,,4.3,,,,
1999-07-06,4.99,73.606, 2.50 ,74.26,0.03,97.6,5,71.9, (23.4), 9.0 , 10.9 , (0.6),2%,73%,7%,-22%,,,,," 13,605 "," 2,060,664 "," 471,678 "," 390,758 ",0.44%,0.44%,0.18%,0.53%,,,,,4.3,,,,
1999-08-06,5.07,73.642, 2.50 ,74.35,0.03,97.9,5,72.1, (22.9), 0.5 , 6.1 , (0.5),-2%,-94%,-44%,-18%,,,,," 13,679 "," 2,067,713 "," 471,727 "," 392,615 ",0.54%,0.34%,0.01%,0.48%,,,,,4.2,,,,
1999-09-06,5.22,73.837, 2.50 ,74.43,0.0325,98.2,5,72.4, (23.0), (0.9), 12.0 , (0.2),0%,-276%,97%,-54%,,,,," 13,753 "," 2,074,785 "," 471,776 "," 394,482 ",0.54%,0.34%,0.01%,0.48%,,,,,4.2,,,,
